Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR020841	Polyketide synthase, beta-ketoacyl synthase domain	interpro	domain		PS52004,SM00825	
IPR020843	Polyketide synthase, enoylreductase domain	interpro	domain		SM00829	GO:0016491
IPR020844	Circadian clock protein KaiA, N-terminal	interpro	domain		PS51430	GO:0007623
IPR020845	AMP-binding, conserved site	interpro	conserved_site		PS00455	
IPR020846	Major facilitator superfamily domain	interpro	domain		PS50850	GO:0022857
IPR020847	AP endonuclease 1, binding site	interpro	binding_site		PS00726	GO:0003677,GO:0004519,GO:0006281
IPR020848	AP endonuclease 1, conserved site	interpro	conserved_site		PS00728,PS00727	GO:0003677,GO:0004519,GO:0006281
IPR020849	Small GTPase, Ras-type	interpro	family		PTHR24070	GO:0005525,GO:0007165,GO:0016020
IPR020850	GTPase effector domain	interpro	domain		PS51388	
IPR020852	Ribonucleotide reductase, class Ib, NrdI, bacterial	interpro	family		MF_00128	
IPR020855	Ureohydrolase, manganese-binding site	interpro	binding_site		PS01053	GO:0016813,GO:0046872
IPR020856	Circadian clock oscillator protein KaiA, C-terminal	interpro	domain		PS51431,PF07688	GO:0006468,GO:0007623
IPR020857	Serum albumin, conserved site	interpro	conserved_site		PS00212	
IPR020858	Serum albumin-like	interpro	homologous_superfamily		SSF48552	GO:0005615
IPR020859	Roc domain	interpro	domain		PS51424	
IPR020860	MIRO domain	interpro	domain		PS51423	GO:0003924,GO:0005525
IPR020861	Triosephosphate isomerase, active site	interpro	active_site		PS00171	GO:0004807
IPR020863	Membrane attack complex component/perforin domain, conserved site	interpro	conserved_site		PS00279	
IPR020864	Membrane attack complex component/perforin (MACPF) domain	interpro	domain		PS51412,PF01823,SM00457	
IPR020867	Tetrahydrofolate dehydrogenase/cyclohydrolase, conserved site	interpro	conserved_site		PS00767,PS00766	GO:0003824
IPR020868	Bifunctional enzyme Fae/Hps	interpro	family		MF_01268	GO:0016832,GO:0016840,GO:0016051
IPR020869	Exosome complex component Rrp42, archaea	interpro	family		cd11365,MF_00622	GO:0006401,GO:0000178
IPR020870	Uncharacterised protein family UPF0387, membrane	interpro	family		MF_01362	GO:0005886
IPR020871	Ribulose bisphosphate carboxylase large subunit, type II	interpro	family		cd08211,MF_01339	GO:0000287,GO:0016984,GO:0015977
IPR020872	2-phosphoglycerate kinase	interpro	family		MF_00769	GO:0016774
IPR020873	3'-5' exoribonuclease YhaM	interpro	family		MF_01427	GO:0000175
IPR020874	NAD(P)H-quinone oxidoreductase, subunit N	interpro	family		PTHR35515,PF11909,MF_01353	GO:0016655,GO:0016020
IPR020875	3-phenylpropionate/cinnamic acid dioxygenase, alpha subunit	interpro	family		MF_01648	GO:0005506,GO:0008695
IPR020876	Tyrosine recombinase XerD-like	interpro	family		MF_01817	GO:0005737
IPR020877	Interleukin-1 conserved site	interpro	conserved_site		PS00253	GO:0005615
IPR020878	Ribulose bisphosphate carboxylase, large chain, active site	interpro	active_site		PS00157	GO:0000287,GO:0016984,GO:0015977
IPR020879	N-acetylglucosamine-binding protein A	interpro	family		MF_01905	GO:0008061
IPR020880	Protein of unknown function UPF0741	interpro	family		MF_01863	
IPR020881	Phosphoglycerol transferase I	interpro	family		MF_01070	GO:0008960,GO:0009250,GO:0005886
IPR020883	Type I toxin-antitoxin system, SymE toxin	interpro	family		MF_01193	GO:0003723,GO:0004521,GO:0016070,GO:0005737
IPR020884	Glutathione-regulated potassium-efflux system protein KefB	interpro	family		MF_01412	GO:0015503,GO:0006813,GO:0005886
IPR020885	Uncharacterised protein family UPF0367	interpro	family		MF_01360	
IPR020886	Putative HTH-type transcriptional regulator, archaea	interpro	family		MF_00584	GO:0003700,GO:0006355
IPR020887	Uncharacterised protein family UPF0509	interpro	family		MF_01641	
IPR020888	Ribulose bisphosphate carboxylase large subunit, type I	interpro	family		cd08212,MF_01338	GO:0000287,GO:0016984,GO:0015977
IPR020889	LPS-assembly protein LptD	interpro	family		MF_01411	GO:0015920,GO:0043165,GO:0009279
IPR020890	Transcription regulator HTH, HdfR	interpro	family		MF_01233	GO:0003677,GO:0003700,GO:0045892
IPR020891	Uncharacterised protein family UPF0758, conserved site	interpro	conserved_site		PS01302	
IPR020892	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site	interpro	conserved_site		PS00170	GO:0003755,GO:0006457
IPR020894	Cadherin conserved site	interpro	conserved_site		PS00232	GO:0007155,GO:0005886
IPR020895	Frataxin conserved site	interpro	conserved_site		PS01344	
IPR020897	Synapsin, pre-ATP-grasp domain	interpro	domain		PF02078	
IPR020898	Synapsin, ATP-binding domain	interpro	domain		PF02750	
IPR020899	Arginine repressor, C-terminal	interpro	domain		PF02863	GO:0034618,GO:0051259
IPR020900	Arginine repressor, DNA-binding domain	interpro	domain		PF01316	GO:0003700,GO:0006355,GO:0006525
IPR020901	Proteinase inhibitor I2, Kunitz, conserved site	interpro	conserved_site		PS00280	
IPR020902	Actin/actin-like conserved site	interpro	conserved_site		PS01132	
IPR020903	Epithelial sodium channel, conserved site	interpro	conserved_site		PS01206	GO:0005272,GO:0006814,GO:0016020
IPR020904	Short-chain dehydrogenase/reductase, conserved site	interpro	conserved_site		PS00061	GO:0016491
IPR020905	NAD(P)H-quinone oxidoreductase subunit O	interpro	family		PF11910,MF_01354	GO:0016655,GO:0005886
IPR020906	Double-stranded DNA-binding Cren7	interpro	family		PF11520,MF_01387	GO:0003690,GO:0005737
IPR020907	PhoP/PhoQ regulator MgrB	interpro	family		PF13998,MF_01596	
IPR020908	Uncharacterised protein family UPF0738	interpro	family		PF19785,MF_01861	
IPR020909	UPF0736	interpro	family		PF12227,MF_01860	
IPR020910	Uncharacterised protein family UPF0370	interpro	family		PF13980,MF_01566	
IPR020911	Uncharacterised protein family UPF0325	interpro	family		PF11944,MF_01519	
IPR020912	Uncharacterised protein family UPF0295	interpro	family		PF11023,MF_01502	
IPR020913	Uncharacterised protein family UPF0323	interpro	family		MF_01421	
IPR020914	Probable succinate transporter subunit YjjB	interpro	family		MF_01191	
IPR020915	Uncharacterised protein family UPF0311	interpro	family		PTHR37315,MF_00775	
IPR020916	Protein-glutamine gamma-glutamyltransferase, bacteria	interpro	family		PF20085,MF_00727	GO:0003810
IPR020917	Primosomal protein 1	interpro	family		MF_01061	GO:0006260,GO:1990077
IPR020918	Peptide chain release factor aRF1	interpro	family		MF_00424	GO:0003747,GO:0006415,GO:0005737
IPR020919	Small ribosomal subunit protein eS8, archaeal	interpro	family		MF_00029	GO:0003735,GO:0006412,GO:0005840
IPR020920	L-lactate dehydrogenase, bacterial	interpro	family		NF033901,MF_01559	GO:0004457,GO:0010181,GO:0006089
IPR020921	Erythronate-4-phosphate dehydrogenase	interpro	family		cd12158,MF_01825	GO:0033711,GO:0008615,GO:0005737
IPR020922	dITP/XTP pyrophosphatase	interpro	family		MF_01405	GO:0017111,GO:0009143
IPR020923	DNA ligase B	interpro	family		MF_01587	GO:0003911,GO:0006259,GO:0006260
IPR020924	Small ribosomal subunit protein eS6, archaeal	interpro	family		MF_00512	GO:0003735,GO:0006412,GO:0005840
IPR020925	Large ribosomal subunit protein eL15, conserved site	interpro	conserved_site		PS01194	GO:0003735,GO:0006412,GO:0005840
IPR020926	Large ribosomal subunit protein eL15, archaeal	interpro	family		MF_00256	GO:0003735,GO:0006412,GO:0005840
IPR020929	Large ribosomal subunit protein uL5, conserved site	interpro	conserved_site		PS00358	GO:0003735,GO:0006412,GO:0005840
IPR020930	Large ribosomal subunit protein uL5, bacterial-type	interpro	family		MF_01333_B	GO:0003735,GO:0006412,GO:0005840
IPR020931	Decarboxylase MfnA, archaea	interpro	family		TIGR03812,MF_01610	GO:0016831
IPR020934	Small ribosomal subunit protein uS19, conserved site	interpro	conserved_site		PS00323	GO:0003723
IPR020935	Phosphodiesterase YfcE, conserved site	interpro	conserved_site		PS01269	
IPR020936	tRNA uridine(34) hydroxylase	interpro	family		MF_00469,PTHR43268	
IPR020937	SecA conserved site	interpro	conserved_site		PS01312	GO:0006605,GO:0006886,GO:0016020
IPR020939	Large ribosomal subunit protein bL34, conserved site	interpro	conserved_site		PS00784	GO:0003735,GO:0006412,GO:0005840
IPR020940	Thymidylate synthase, active site	interpro	active_site		PS00091	GO:0004799,GO:0006231
IPR020941	Suppressor of fused-like domain	interpro	domain		PF05076	
IPR020942	Class III cytochrome C	interpro	domain		PF02085	GO:0009055,GO:0020037
IPR020944	Nodulation protein S	interpro	family		NF041650,PIRSF009310	GO:0008757,GO:0009312
IPR020945	DMSO/Nitrate reductase chaperone	interpro	family		PF02613	
IPR020946	Flavin monooxygenase-like	interpro	family		PF00743	GO:0004499,GO:0050660,GO:0050661
IPR020948	Phosphate-starvation-induced PsiE-like	interpro	family		PF06146	
IPR020949	Prion, copper binding octapeptide repeat	interpro	repeat		PF03991	
IPR020951	Mitochondrial import receptor subunit Tom22, fungi	interpro	family		TIGR00986	GO:0030150,GO:0005741,GO:0005742
IPR020952	Antitermination protein N, arginine-rich motif	interpro	family		PF11438	
IPR020953	Acyl-CoA dehydrogenase, N-terminal, bacteria	interpro	domain		PF12418	
IPR020954	Rickettsia surface antigen, 120kDa	interpro	family		PF12574	
IPR020955	Uncharacterised protein family Atu4866	interpro	family		PF11512	
IPR020956	Transcription factor Aft1, osmotic stress domain	interpro	domain		PF11785	
IPR020957	Tachystatin B	interpro	family		PF11478	
IPR020958	Domain of unknown function DUF3686	interpro	domain		PF12458	
IPR020959	Arabinofuranosyltransferase AftA, C-terminal	interpro	domain		PF12249	GO:0016757,GO:0044038,GO:0005886,GO:0016020
IPR020960	Aleutian mink disease parvovirus non-structural protein 1-3	interpro	domain		PF12475	
IPR020961	Domain of unknown function DUF3642, lipoprotein	interpro	domain		PF12182	
IPR020962	Bacteriophage phiX174, GpK	interpro	family		PF12283	
IPR020963	Arabinofuranosyltransferase AftA, N-terminal	interpro	domain		PF12250	GO:0016757,GO:0044038,GO:0005886,GO:0016020
IPR020964	Acyl-CoA dehydrogenase, C-terminal	interpro	domain		PF12186	
IPR020965	Aromatic prenyltransferase, CloQ-type	interpro	family		SFLDG01163,cd13931,PF11468	GO:0016740
IPR020966	Aluminum-activated malate transporter	interpro	family		PF11744	GO:0015743
IPR020967	Borrelia attachment ligand, p66	interpro	family		PF11263	
IPR020968	Bacteriocin class II, aureocin-like	interpro	family		PF11758	
IPR020969	Ankyrin-G binding site	interpro	binding_site		PF11956	GO:0005267,GO:0016020
IPR020970	Bacteriocin class IIc	interpro	family		PF12173	
IPR020971	ATP synthase, F1 beta subunit	interpro	domain		PF11421	GO:0005524,GO:0016887,GO:0006754,GO:0045261
IPR020972	Dermonecrotic/RTX toxin, membrane localization domain	interpro	domain		PF11647	
IPR020973	Packaging enzyme P4	interpro	family		PF11602	GO:0019072
IPR020974	CGT/MARTX, cysteine protease (CPD) domain	interpro	domain		PF11713,PS51771	
IPR020975	UvsW.1 domain	interpro	domain		PF11637	
IPR020976	LCI fold	interpro	domain		PF12197	
IPR020977	Beta-casein-like	interpro	family		PTHR31258,PF12304	
IPR020978	Cryptochrome C-terminal	interpro	domain		PF12546	
IPR020979	Uncharacterised protein family A0KLC6	interpro	family		PF12290	
IPR020980	Menbrane protein HflK, N-terminal	interpro	domain		PF12221	
IPR020981	Monopolin complex subunit Csm1/Pcs1, C-terminal	interpro	domain		PF12539	GO:0005515
IPR020982	Bacteriophage T4, GpT, holin	interpro	family		MF_04104,PF11031	GO:0044659
IPR020983	Basic leucine-zipper, C-terminal	interpro	domain		PF12498	
IPR020984	Cell cycle regulatory protein Speedy	interpro	family		PTHR31156,PF11357	GO:0019901,GO:0045737
IPR020985	Cell surface protein Shp, haem-binding domain	interpro	domain		PF11545	GO:0020037
IPR020986	Chemotaxis inhibitory protein	interpro	family		PR02036,PF11434	
IPR020987	Centromere protein Cenp-M	interpro	family		PTHR34436,PF11111	
IPR020988	Peptidase U32, collagenase	interpro	domain		PF12392	
IPR020989	Histone-arginine methyltransferase CARM1, N-terminal	interpro	domain		PF11531	
IPR020990	Carboxysome assembly protein CsoS2/2B	interpro	family		PF12288	GO:0043886
IPR020991	Head-to-tail connector protein, podovirus-type	interpro	family		PF12236	
IPR020992	Tail specific protease, C-terminal	interpro	domain		PF11818	
IPR020993	Centromere protein Cenp-K	interpro	family		PTHR14401,PF11802	GO:0051382,GO:0005634
IPR020994	Uncharacterised protein family, calcium binding protein, CcbP	interpro	family		PF11535	
IPR020995	Chlorosome envelope protein C	interpro	family		PF11098	
IPR020996	Type III secretion system, AvrPto	interpro	family		PF11592	
IPR020997	Ataxin-1, N-terminal	interpro	domain		PF12547	
IPR020998	Mediator of RNA polymerase II transcription subunit 3	interpro	family		PF11593	GO:0003712,GO:0006357,GO:0016592
IPR020999	Chitin synthesis regulation, Congo red resistance, RCR protein	interpro	family		PTHR28187,PF12273	
IPR021001	Spidroin, C-terminal	interpro	domain		PF11260	
IPR021002	Replication protein 1a, necrotic phentoype-determining domain	interpro	domain		PF12467	GO:0008168,GO:0016817
IPR021003	Cytomegalovirus glycoprotein N, N-terminal	interpro	domain		PF12522	
IPR021004	Dispersed gene family protein 1, domain 4	interpro	domain		PF11024	
IPR021005	Zinc finger, CGNR	interpro	domain		PF11706	
IPR021006	HDA1 complex subunit 2/3	interpro	family		PF11496	GO:0070823
IPR021007	Complementary sex determiner, C-terminal	interpro	domain		PF11671	
IPR021008	D-Ala-teichoic acid biosynthesis protein DltX	interpro	family		PF12459	
IPR021009	Motility repressor MogR, DNA-binding domain	interpro	domain		PF12181	
IPR021010	Cytosolic motility protein	interpro	family		PTHR31578,PF12150	
IPR021011	DNA replication regulator, HobA	interpro	family		PF12163	
IPR021012	Cell adhesion molecule Dscam1, C-terminal	interpro	domain		PF12355	
IPR021013	ATPase, vacuolar ER assembly factor, Vma12	interpro	family		PTHR31394,PF11712	GO:0070072
IPR021014	SidE, PDE domain	interpro	domain		PF12252	
IPR021015	Duffy-antigen binding, C-terminal	interpro	domain		PF12361	GO:0016020
IPR021016	Beta-1,3-xylanase	interpro	family		PF11606	GO:0033905
IPR021017	Mediator complex, subunit Med2, fungi	interpro	family		PF11214	
IPR021018	Mediator complex, subunit Med29, metazoa	interpro	family		PF11568,PTHR28314	GO:0016592
IPR021019	Mediator complex, subunit Med30, metazoa	interpro	family		PTHR31705,PF11315	
IPR021020	Adhesin, Dr family, signal peptide	interpro	ptm		PF12393	
IPR021021	Fibronectin-binding repeat, SSURE	interpro	repeat		PF11966	
IPR021022	Human herpes virus-8, Protein K1, cytoplasmic domain	interpro	domain		PF11049	
IPR021023	Envelope glycoprotein UL132	interpro	family		PF11359	
IPR021025	Fanconi Anaemia group E protein, C-terminal	interpro	domain		cd07439,PF11510	
IPR021026	Filamentous haemagglutinin family outer membrane protein, domain of unknown function DUF3739	interpro	domain		PF12545	
IPR021027	Transposase, putative, helix-turn-helix domain	interpro	domain		PF12323	
IPR021028	Homotrimeric ring hydroxylase, catalytic domain	interpro	domain		PF11723	
IPR021029	DNA polymerase III, tau subunit, domain V	interpro	domain		PF12170	GO:0003887
IPR021030	Protein of unknown function DUF3731	interpro	family		PF12531	
IPR021031	Hyphally-regulated cell wall protein, N-terminal	interpro	domain		PF11765	
IPR021032	Duffy-antigen binding, N-terminal	interpro	domain		PF12377	
IPR021033	Extracellular fibrinogen binding protein, C-terminal	interpro	domain		PF12199	GO:0001848,GO:0005615
IPR021034	Domain of unknown function DUF3672	interpro	domain		PF12421	
IPR021035	Glycoprotein 60, Cryptosporidium spp	interpro	domain		PF11025	
IPR021036	Small ribosomal subunit protein mS45	interpro	family		PTHR28158	
IPR021037	Stomoxyn	interpro	family		PF11585	GO:0042742,GO:0050832
IPR021038	Herpesvirus UL130, cytomegalovirus	interpro	family		PF11668	
IPR021039	Iron-sulphur binding protein LdpA, C-terminal	interpro	domain		PF12617	
IPR021040	LRRC8, pannexin-like TM region	interpro	domain		PF12534	
IPR021041	Major surface glycoprotein 2, C-terminal	interpro	domain		PF12373	
IPR021042	Herpesvirus UL139, cytomegalovirus	interpro	family		PF12507	
IPR021043	MKI67 FHA domain-interacting nucleolar phosphoprotein, FHA Ki67 binding	interpro	domain		PF12196	
IPR021044	Herpesvirus Glycoprotein B, antigenic domain, N-terminal	interpro	domain		PF12154	
IPR021045	Influenza A proapoptotic protein PB1-F2	interpro	family		PF11986,MF_04064	
IPR021046	Cold-shock protein, DEAD box A, C-terminal	interpro	domain		PF12343	GO:0016817
IPR021047	Mannosyltransferase 1, CMT1	interpro	family		PTHR34144,PF11735	
IPR021048	Intracellular growth locus C protein	interpro	family		PF11550	
IPR021049	Bacteriophage T4, Gp40, head assembly	interpro	family		PF11113	
IPR021050	Cytochrome c oxidase subunit IV, actinobacteria	interpro	family		PF12270,PIRSF017385	GO:0022900,GO:0016020
IPR021051	Herpes simplex virus, Tegument protein VP16, C-terminal	interpro	domain		PF12149	
IPR021052	Holliday junction recognition protein, HJURP, central domain	interpro	domain		PF12346	
IPR021053	Dispersed gene family protein 1, C-terminal	interpro	domain		PF11040	
IPR021054	Cell wall mannoprotein 1	interpro	family		PF12296	
IPR021055	Type-IV b secretion system, inner-membrane complex component	interpro	family		cd16385,PF11393	
IPR021056	Mitochondrial import inner membrane translocase subunit Tim54	interpro	family		PF11711	
IPR021057	Trypanosome invariant surface glycoprotein	interpro	family		PF11727	
IPR021058	Porin OmpL1	interpro	family		PF11389	GO:0015288,GO:0055085,GO:0005886
IPR021059	DnaJ-related protein, N-terminal	interpro	domain		PF12339	
IPR021060	Merozoite surface antigen	interpro	family		PF12238	
IPR021061	Mitochondrial division protein 1	interpro	family		PF11542	
IPR021062	Putative aromatic acid exporter, C-terminal	interpro	domain		PF11728	
IPR021063	NF-kappa-B essential modulator NEMO, N-terminal	interpro	domain		PF11577	
IPR021064	Estrogen receptor beta-like, N-terminal	interpro	domain		PF12497	
IPR021065	Fertility inhibition protein FinO, N-terminal	interpro	domain		PF12602	
IPR021066	Fungal protease inhibitor-1	interpro	family		PF12190	GO:0030414,GO:0010466
IPR021067	Glycosyltransferase, GlcNAc	interpro	family		PTHR34496,PF11397	
IPR021068	HTH DNA binding domain	interpro	domain		PF11972	
IPR021069	ImpA, C-terminal	interpro	domain		PF12486	
IPR021070	Killing trait, RebB	interpro	family		PF11747	
IPR021071	Low molecular weight S layer protein, N-terminal	interpro	domain		PF12211	
IPR021072	Melanoma associated antigen, N-terminal	interpro	domain		SM01392,PF12440	
IPR021073	Murid betaherpesvirus 1, M157	interpro	family		PF11624	
IPR021074	Formate dehydrogenase, delta subunit	interpro	family		PF11390	
IPR021075	Bocavirus non-capsid protein, NP1	interpro	family		PF11733	
IPR021076	Parvovirus non-structural protein 1, N-terminal	interpro	domain		PF12433	
IPR021077	Bacteriophage phi-Lf, Orf112	interpro	family		PF12375	
IPR021078	Membrane-integrating protein Mistic	interpro	family		PF11458	
IPR021079	Methanol-cobalamin methyltransferase, B subunit	interpro	family		PF12176	
IPR021080	Minor capsid protein	interpro	family		PF11114	
IPR021081	Nepovirus subgroup A, RNA2 polyprotein, Protein 2A	interpro	domain		PF12312	
IPR021082	Protein GAPT	interpro	family		PR02077,PTHR37350,PF11770	GO:0016020
IPR021083	Nuclear abundant poly(A) RNA-binding protein Nab2, N-terminal	interpro	domain		PF11517	
IPR021084	Het-s prion-forming domain	interpro	domain		PF11558	
IPR021085	AvrE-family Type-III effector protein	interpro	family		PF11725	
IPR021086	Accessory protein p12I	interpro	family		PF12233	
IPR021087	Uncharacterised protein family PixA/AidA	interpro	family		PF12306	
IPR021088	Osteocrin	interpro	family		PTHR35353,PF11037	
IPR021089	Bacteriocin, lactococcin-G	interpro	family		PF11632	
IPR021090	SLy proteins associated disordered region	interpro	domain		PF12485	
IPR021091	Mercury ion transport, MerF	interpro	family		PF11431	GO:0016020
IPR021093	NADH-quinone oxidoreductase, subunit15	interpro	family		PF11497	
IPR021094	NPR1/NIM1-like, C-terminal	interpro	domain		PF12313	
IPR021095	Domain of unknown function DUF3734	interpro	domain		PF12536	
IPR021096	Vibrio phage VSK, Orf152	interpro	family		PF12472	
IPR021097	CPH domain	interpro	domain		PF11515	
IPR021098	Bacteriophage P22, Gp10, DNA-stabilising	interpro	family		PF11134	
IPR021099	Plant organelle RNA recognition domain	interpro	domain		PF11955	GO:0003723
IPR021100	N-glycosylation protein EOS1	interpro	family		PR02070,PTHR28147,PF12326	GO:0034599,GO:0005789
IPR021101	Optomotor-blind protein, N-terminal	interpro	domain		PF11078	
IPR021102	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A	interpro	family		PTHR31104,PF12222	
IPR021103	Argonaute PAZ domain, archaea	interpro	domain		PF12212	
IPR021104	KfrA, N-terminal DNA-binding domain	interpro	domain		PF11740	
IPR021106	Protein Ste5, Fus3-binding domain	interpro	domain		PF12194	
IPR021107	Restriction endonuclease, type II, HinP1I	interpro	family		PF11463	
IPR021108	Restriction endonuclease, type II, BpuJI, N-terminal	interpro	domain		PF11564	
IPR021109	Aspartic peptidase domain superfamily	interpro	homologous_superfamily		G3DSA:2.40.70.10,SSF50630	
IPR021110	DNA replication/checkpoint protein	interpro	family		PF11719	GO:0006260
IPR021111	Hexameric tyrosine-coordinated heme protein (HTHP)	interpro	family		PF11534	
IPR021112	Group II intron-interrupted relaxase LtrB, C-terminal domain	interpro	domain		PF11083	
IPR021113	Acyl-ACP-thioesterase, N-terminal	interpro	domain		PF12590	GO:0016790
IPR021114	Porin PorB/PorC	interpro	family		PF11565	
IPR021115	Pyridoxal-phosphate binding site	interpro	binding_site		PS00392	GO:0016831
IPR021116	Calcitonin/adrenomedullin	interpro	family		PF00214	GO:0005179,GO:0005576
IPR021117	Calcitonin-like	interpro	family		PTHR10505	GO:0005179,GO:0005576
IPR021118	Calcitonin	interpro	family		PR00270	GO:0005179,GO:0005576
IPR021119	Poxvirus F1/C10	interpro	family		PF11099	GO:0033668
IPR021120	KduI/IolB isomerase	interpro	family		PF04962	GO:0016861
IPR021122	RNA ligase domain, REL/Rln2	interpro	domain		PF09414	
IPR021123	Type III secretion, needle-protein-like	interpro	family		PF09392	GO:0015031
IPR021124	CRISPR-associated protein, Cas5	interpro	family		PF09704	GO:0043571
IPR021125	Protein of unknown function DUF2127	interpro	family		PF09900	
IPR021126	Interferon gamma receptor, D2 domain, poxvirus/mammal	interpro	domain		PF07140	GO:0004896,GO:0060333
IPR021127	CRISPR-associated endonuclease Cas2	interpro	family		cd09725,MF_01471,PTHR34405,PIRSF032582,TIGR01573	GO:0004521,GO:0043571
IPR021130	Phosphoribosyl-ATP pyrophosphohydrolase-like	interpro	family		PF01503	
IPR021131	Large ribosomal subunit protein uL15/eL18	interpro	domain		PF17135,PF00828	
IPR021132	Large ribosomal subunit protein eL18, conserved site	interpro	conserved_site		PS01106	GO:0003735,GO:0006412,GO:0005840
IPR021133	HEAT, type 2	interpro	repeat		PS50077	
IPR021134	Bestrophin-like	interpro	family		PF01062	GO:0005254
IPR021135	Phosphoenolpyruvate carboxylase	interpro	family		PTHR30523,PR00150,PF00311	GO:0008964,GO:0006099,GO:0015977
IPR021136	Flagellar hook-length control protein-like, C-terminal	interpro	domain		PF02120	
IPR021137	Large ribosomal subunit protein bL35-like	interpro	family		PF01632	GO:0003735,GO:0006412,GO:0005840
IPR021138	Large ribosomal subunit protein eL20, eukaryotes	interpro	family		PIRSF002190,PTHR10052	GO:0003735,GO:0006412,GO:0005840
IPR021139	NYN domain	interpro	domain		PF01936	GO:0004540
IPR021140	Alkaline proteinase inhibitor/ Outer membrane lipoprotein Omp19	interpro	domain		PF02974	
IPR021143	Pyrimidine dimer DNA glycosylase, endonuclease V type	interpro	family		PIRSF500103	
IPR021144	Uncharacterised protein family UPF0597	interpro	family		PTHR30501,MF_01845,PIRSF006054	
IPR021145	Portal protein	interpro	family		PF05133	
IPR021146	Phage gp6-like head-tail connector protein	interpro	family		PF05135	
IPR021147	Protein of unknown function DUF697	interpro	family		PF05128	
IPR021149	Oligosaccharyl transferase complex, subunit OST3/OST6	interpro	family		PF04756,PTHR12692	
IPR021150	Ubiquinol-cytochrome c chaperone	interpro	domain		PF03981	
IPR021151	GINS subunit, domain A	interpro	domain		PF05916	
IPR021152	Herpesvirus UL31	interpro	family		MF_04023,PF02718	GO:0046765,GO:0046802
IPR021153	Heat-inducible transcription repressor HrcA, C-terminal	interpro	domain		PF01628	GO:0003677,GO:0006355
IPR021155	Poxvirus E2/O1	interpro	family		PF04497	
IPR021156	Transcription elongation factor A-like/Brain expressed X-linked	interpro	family		PF04538	
IPR021157	Cytochrome c1, transmembrane anchor, C-terminal	interpro	homologous_superfamily		SSF81496	
IPR021158	Peptidase M10A, cysteine switch, zinc binding site	interpro	binding_site		PS00546	GO:0004222,GO:0008270,GO:0006508,GO:0031012
IPR021159	Glycerate/sugar phosphate transporter, conserved site	interpro	conserved_site		PS00942	
IPR021160	Mitogen-activated protein (MAP) kinase kinase kinase kinase	interpro	family		PIRSF038172	GO:0005524,GO:0008349
IPR021162	Histone H3-K79 methyltransferase, fungi	interpro	family		PIRSF017570	GO:0031151,GO:0042393,GO:0000077,GO:0006281,GO:0031509,GO:0000786
IPR021163	Ferredoxin-NADP+ reductase, adrenodoxin-type	interpro	family		PIRSF000362	GO:0016491
IPR021164	Tyrosine hydroxylase, conserved site	interpro	conserved_site		PF12549	GO:0004511
IPR021165	Saposin, chordata	interpro	family		PIRSF002431	GO:0006665,GO:0005764
IPR021167	Uncharacterised conserved protein, UCP027887, phosphatidlglycerophosphatase-related	interpro	family		PIRSF027887	
IPR021168	Bifunctional polymyxin resistance protein, ArnA	interpro	family		MF_01166,PIRSF036506	GO:0016742
IPR021169	Histone H3-K79 methyltransferase, metazoa	interpro	family		PIRSF037123	GO:0031151,GO:0031507,GO:0005634
IPR021170	DnaJ homologue subfamily C member 10	interpro	family		PIRSF037293	GO:0015036,GO:0034975,GO:0005783
IPR021171	Core histone macro-H2A	interpro	family		PIRSF037942	GO:0003677,GO:0030527,GO:0006334,GO:0000786
IPR021172	Uncharacterised conserved protein, RNA methylase-related	interpro	family		PIRSF006607	
IPR021173	Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase	interpro	family		PIRSF037345	
IPR021174	Uncharacterised conserved protein UCP037139	interpro	family		PIRSF037139	
IPR021175	Bifunctional inorganic polyphosphate/ATP-NAD kinase, predicted	interpro	family		PIRSF036641	GO:0006553
IPR021176	Competence-induced protein CoiA	interpro	family		PIRSF007487	
IPR021177	Serum albumin/Alpha-fetoprotein/Afamin	interpro	family		PIRSF002520,PR00803	GO:0005615
IPR021179	Mercury(II) reductase	interpro	family		TIGR02053	GO:0016152,GO:0016491,GO:0045340,GO:0050660,GO:0050661,GO:0050787
IPR021180	Protein lysine methyltranseferase, predicted	interpro	family		PIRSF029047	
IPR021181	Mitochondrial Rho GTPase	interpro	family		PIRSF037488	GO:0003924,GO:0005509,GO:0005525,GO:0007005,GO:0005741
IPR021182	Protein SOSEKI, magnoliopsida	interpro	family		PIRSF031043	
IPR021183	N-terminal acetyltransferase A, auxiliary subunit	interpro	family		PF12569,PIRSF000422	
IPR021184	Tumour necrosis factor, conserved site	interpro	conserved_site		PS00251	
IPR021185	Tumour necrosis factor family protein, CD30 ligand type	interpro	family		PIRSF019548	
IPR021187	Band 4.1 protein, FERM domain, F1 sub-domain	interpro	domain		cd17105	
IPR021188	N6 adenine-specific DNA methyltransferase, TaqI class	interpro	family		PIRSF037236	
IPR021190	Peptidase M10A	interpro	family		PIRSF001191,PR00138	GO:0004222,GO:0008270,GO:0006508
IPR021191	Restriction endonuclease, type II, DpnII	interpro	family		PIRSF016080	GO:0003677,GO:0009036,GO:0009307
